age,annual_income,total_debt,credit_history_years,payment_history_score,late_payments,existing_loans,employment_years,credit_utilization,debt_to_income,creditworthy
25,92454.9,28195.78,2.27,100.0,2,2,12.21,0.165,0.305,1
55,59444.62,22931.48,12.7,100.0,1,0,18.99,0.442,0.386,1
50,72996.0,43990.87,16.49,71.41,2,3,6.63,0.942,0.603,0
40,18000.0,2374.31,14.81,88.85,2,4,5.7,0.749,0.132,1
40,39560.35,17180.39,6.28,89.26,2,0,0.5,0.03,0.434,1
59,58536.86,32415.16,10.87,87.04,2,3,10.48,0.433,0.554,0
24,41413.07,22444.07,2.9,87.19,2,2,7.59,0.606,0.542,0
52,80716.72,31782.63,24.76,85.95,6,4,10.26,0.384,0.394,0
30,108940.52,42682.56,4.67,100.0,2,1,1.3,0.328,0.392,1
25,39114.48,24619.52,5.11,96.33,1,0,8.76,0.367,0.629,1
44,46575.81,17160.6,18.04,68.22,1,0,8.03,0.53,0.368,0
64,70179.86,4395.36,18.01,92.34,3,2,7.7,0.19,0.063,1
54,100444.56,27323.39,23.71,93.6,3,2,3.58,0.658,0.272,1
55,38107.77,1036.48,21.94,86.09,1,5,12.95,0.409,0.03,1
53,70478.79,13708.97,17.71,96.71,3,2,17.25,0.233,0.195,1
56,105068.57,36859.8,17.54,84.44,1,1,1.45,0.645,0.351,0
44,28661.3,22006.58,17.1,84.61,0,4,10.6,0.111,0.768,0
26,36816.48,20476.87,5.17,83.58,0,0,0.0,0.309,0.556,1
58,55680.65,3883.37,25.14,55.76,0,2,10.34,0.306,0.07,1
41,53547.05,21121.84,17.23,80.95,3,3,0.0,0.849,0.394,0
43,82877.23,13690.07,12.23,73.31,0,1,4.38,0.283,0.165,1
37,70316.51,51427.06,12.42,66.58,3,3,0.43,0.03,0.731,0
29,25950.83,1000.0,7.49,100.0,0,2,5.92,0.304,0.039,1
62,76339.03,36677.65,15.66,88.55,3,5,11.19,0.511,0.48,1
56,52294.14,11506.46,10.3,81.61,0,1,0.0,0.577,0.22,1
49,93037.84,57932.85,14.02,74.66,4,5,5.2,0.875,0.623,0
39,51193.07,16884.35,14.25,85.85,4,3,4.43,0.701,0.33,0
58,50994.46,37392.2,15.78,94.89,4,4,14.91,0.458,0.733,0
45,76904.9,15285.38,16.2,71.25,2,1,9.16,0.242,0.199,1
40,81784.38,57241.4,5.58,81.94,2,0,1.11,0.745,0.7,0
41,74858.19,23347.44,9.84,93.28,1,4,4.64,0.346,0.312,0
31,27916.86,13935.9,7.25,56.83,3,2,14.78,0.288,0.499,0
25,76836.76,50597.87,2.2,81.25,3,1,10.57,0.337,0.659,0
45,42245.22,39579.3,18.85,76.42,5,5,2.41,0.17,0.937,0
60,70176.07,15619.66,13.78,80.26,1,1,5.66,0.327,0.223,1
23,33677.84,15365.84,3.52,75.48,3,2,5.82,0.373,0.456,0
59,74819.09,20060.62,14.69,83.79,6,4,4.31,0.566,0.268,0
58,47254.82,19195.1,29.89,100.0,1,5,0.0,0.342,0.406,1
